,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
374,596,ready or not,7,3,2,37
375,598,sky high,7,3,0,70
376,599,bodies bodies bodies,2,1,12,12
377,600,mamma mia!,2,14,9,36
378,601,jerry maguire,2,11,9,8
379,602,tuff turf,7,3,11,44
380,606,"monsters, inc.",5,10,16,2
381,607,spaceballs,4,3,6,45
382,608,dick tracy,7,3,3,59
383,609,chef,4,3,11,33
384,610,ant-man,7,10,16,25
385,611,secretary,2,11,9,8
386,612,paddington 2,4,3,0,7
387,613,raya and the last dragon,5,13,10,17
388,614,hercules,5,10,16,2
389,615,tangled,5,10,16,2
390,616,the blues brothers,7,10,16,25
391,617,la vita è bella,2,11,9,8
392,618,aladdin,4,3,0,7
393,619,shazam!,7,10,16,25
394,620,the parent trap,4,3,11,33
395,621,wonka,4,3,0,7
396,622,birds of prey and the fantabulous emancipation of one harley quinn,7,10,16,25
397,623,thoroughbreds,2,2,11,49
398,624,(500) days of summer,2,11,9,8
399,625,the bob's burgers movie,5,10,16,2
400,626,the time traveler's wife,2,11,8,75
401,628,last night in soho,6,1,4,30
402,629,nope,0,4,6,24
403,630,men,6,8,2,10
404,631,crimes of the future,6,1,6,3
405,634,watcher,6,1,12,65
406,635,the mist,0,6,12,38
407,637,midsommar,6,1,4,30
408,638,old,6,1,4,30
409,639,mad god,5,8,2,10
410,640,scream,0,4,12,4
411,641,american psycho,1,11,2,34
412,647,it chapter two,6,8,2,10
413,648,the thing,0,4,6,24
414,649,get out,0,4,12,4
415,652,hereditary,6,1,4,30
416,654,fear street: 1994,6,1,4,30
417,655,sweeney todd: the demon barber of fleet street,6,1,15,53
418,656,the vvitch: a new-england folktale,6,8,5,93
419,657,fear street: 1978,6,1,4,30
420,660,sinister,0,4,12,4
421,661,a quiet place part ii,6,1,6,3
422,663,spiral: from the book of saw,1,1,4,16
423,665,the conjuring,0,4,12,4
424,667,mother!,6,1,4,30
425,668,firestarter,6,1,6,3
426,670,us,0,4,12,4
427,671,scream 6,0,4,12,4
428,673,a quiet place,6,1,6,3
429,674,alien: covenant,0,6,12,38
430,677,the lighthouse,6,8,2,10
431,680,brightburn,6,1,4,30
432,681,orphan,0,4,12,4
433,682,psycho,0,4,12,4
434,683,what ever happened to baby jane?,6,1,12,65
435,684,doctor sleep,6,8,2,10
436,685,it follows,0,4,12,4
437,686,the new mutants,7,1,4,99
438,687,the killing of a sacred deer,6,1,4,30
439,688,dracula,6,8,2,10
440,689,lamb,6,8,2,10
441,690,texas chainsaw massacre,1,1,12,89
442,692,srpski film,0,4,12,4
443,693,de uskyldige,6,8,2,10
444,695,vivarium,0,4,6,24
445,696,titane,6,1,6,3
446,697,the night house,0,4,12,4
447,698,the crow,7,2,11,44
448,699,suspiria,6,8,2,10
449,700,la tua presenza nuda!,1,11,2,34
450,701,28 days later...,6,1,6,3
451,702,orphan: first kill,1,11,2,34
452,703,malignant,1,1,4,16
453,704,resurrection,1,11,2,34
454,705,insidious,0,4,12,4
455,706,interview with the vampire: the vampire chronicles,6,8,2,10
456,707,el hoyo,0,6,12,38
457,708,blair witch,0,4,12,4
458,709,world war z,7,10,2,48
459,710,the invisible man,6,1,4,30
460,711,saw,0,4,12,4
461,712,under the skin,6,1,4,30
462,713,the cabin in the woods,0,4,12,4
463,714,10 cloverfield lane,6,1,4,30
464,715,the rocky horror picture show,2,1,15,43
465,716,the rental,6,1,4,30
466,717,army of the dead,7,2,2,83
467,718,jeepers creepers: reborn,0,4,12,4
468,719,life,0,6,12,38
469,720,the fly,6,1,6,3
